#   RTL                                                                               TYPE       FILENAME               BEGIN    END      
rtl exec_stage                                                                        module     ../rtl/EXEC_stage.v      16.1    120.10  
rtl exec_stage/input_pause                                                            input      ../rtl/EXEC_stage.v      18.15    18.20  
rtl exec_stage/input_pc_i                                                             input      ../rtl/EXEC_stage.v      30.22    30.26  
rtl exec_stage/wire_alu_ur_o                                                          wire       ../rtl/EXEC_stage.v      33.23    33.31  
rtl exec_stage/wire_BUS2332                                                           wire       ../rtl/EXEC_stage.v      38.17    38.24  
rtl exec_stage/wire_BUS2446                                                           wire       ../rtl/EXEC_stage.v      39.17    39.24  
rtl exec_stage/wire_BUS476                                                            wire       ../rtl/EXEC_stage.v      41.17    41.23  
rtl exec_stage/inst_MIPS_alu                                                          inst       ../rtl/EXEC_stage.v      44.14    52.15  
rtl exec_stage/inst_add4                                                              inst       ../rtl/EXEC_stage.v      54.11    58.12  
rtl exec_stage/inst_i_alu_muxa                                                        inst       ../rtl/EXEC_stage.v      82.14    93.15  
rtl exec_stage/inst_pc_nxt                                                            inst       ../rtl/EXEC_stage.v     100.22   107.23  
rtl mips_alu                                                                          module     ../rtl/EXEC_stage.v     122.1    177.10  
rtl mips_alu/input_a                                                                  input      ../rtl/EXEC_stage.v     124.19   124.20  
rtl mips_alu/wire_c                                                                   wire       ../rtl/EXEC_stage.v     125.19   125.20  
rtl mips_alu/wire_alu_c                                                               wire       ../rtl/EXEC_stage.v     129.17   129.22  
rtl mips_alu/assign_1_c                                                               assign     ../rtl/EXEC_stage.v     132.12   132.43  
rtl mips_alu/inst_mips_alu                                                            inst       ../rtl/EXEC_stage.v     170.9    175.10  
rtl alu_muxa                                                                          module     ../rtl/EXEC_stage.v     179.1    201.10  
rtl alu_muxa/input_pc                                                                 input      ../rtl/EXEC_stage.v     181.21   181.23  
rtl alu_muxa/reg_a_o                                                                  reg        ../rtl/EXEC_stage.v     188.26   188.29  
rtl alu_muxa/always_1                                                                 always     ../rtl/EXEC_stage.v     191.5    200.8   
rtl alu_muxa/always_1/block_1                                                         block      ../rtl/EXEC_stage.v     192.5    200.8   
rtl alu_muxa/always_1/block_1/case_1                                                  case       ../rtl/EXEC_stage.v     193.9    199.16  
rtl alu_muxa/always_1/block_1/case_1/stmt_2                                           stmt       ../rtl/EXEC_stage.v     195.25   195.34  
rtl alu                                                                               module     ../rtl/EXEC_stage.v     221.1    260.10  
rtl alu/input_a                                                                       input      ../rtl/EXEC_stage.v     222.22   222.23  
rtl alu/reg_alu_out                                                                   reg        ../rtl/EXEC_stage.v     224.27   224.34  
rtl alu/always_1                                                                      always     ../rtl/EXEC_stage.v     230.5    259.8   
rtl alu/always_1/block_1                                                              block      ../rtl/EXEC_stage.v     231.5    259.8   
rtl alu/always_1/block_1/case_1                                                       case       ../rtl/EXEC_stage.v     232.9    258.16  
rtl alu/always_1/block_1/case_1/stmt_1                                                stmt       ../rtl/EXEC_stage.v     234.27   234.37  
rtl shifter_tak                                                                       module     ../rtl/EXEC_stage.v     282.1    407.10  
rtl muldiv_ff                                                                         module     ../rtl/EXEC_stage.v     544.1    727.10  
rtl ext                                                                               module     ../rtl/RF_components.v   15.1     36.10  
rtl ext/input_ins_i                                                                   input      ../rtl/RF_components.v   16.22    16.27  
rtl ext/reg_res                                                                       reg        ../rtl/RF_components.v   17.27    17.30  
rtl ext/wire_instr25_0                                                                wire       ../rtl/RF_components.v   21.17    21.26  
rtl ext/assign_1_instr25_0                                                            assign     ../rtl/RF_components.v   22.12    22.35  
rtl ext/always_1                                                                      always     ../rtl/RF_components.v   26.5     35.12  
rtl ext/always_1/case_1                                                               case       ../rtl/RF_components.v   27.5     35.12  
rtl ext/always_1/case_1/stmt_4                                                        stmt       ../rtl/RF_components.v   31.23    31.69  
rtl pc_gen                                                                            module     ../rtl/RF_components.v   58.1    101.10  
rtl pc_gen/input_pause                                                                input      ../rtl/RF_components.v   59.15    59.20  
rtl pc_gen/input_ctl                                                                  input      ../rtl/RF_components.v   60.20    60.23  
rtl pc_gen/reg_pc_next                                                                reg        ../rtl/RF_components.v   61.28    61.35  
rtl pc_gen/input_pc_prectl                                                            input      ../rtl/RF_components.v   62.21    62.30  
rtl pc_gen/input_s                                                                    input      ../rtl/RF_components.v   64.21    64.22  
rtl pc_gen/input_pc                                                                   input      ../rtl/RF_components.v   65.21    65.23  
rtl pc_gen/input_imm                                                                  input      ../rtl/RF_components.v   67.21    67.24  
rtl pc_gen/wire_br_addr                                                               wire       ../rtl/RF_components.v   71.17    71.24  
rtl pc_gen/assign_1_br_addr                                                           assign     ../rtl/RF_components.v   71.27    71.35  
rtl pc_gen/always_1                                                                   always     ../rtl/RF_components.v   72.5     99.12  
rtl pc_gen/always_1/if_1                                                              if         ../rtl/RF_components.v   73.9     99.12  
rtl pc_gen/always_1/if_1/cond                                                         cond       ../rtl/RF_components.v   73.13    73.18  
rtl pc_gen/always_1/if_1/block_1                                                      block      ../rtl/RF_components.v   74.14    99.12  
rtl pc_gen/always_1/if_1/block_1/if_1                                                 if         ../rtl/RF_components.v   75.13    98.16  
rtl pc_gen/always_1/if_1/block_1/if_1/cond                                            cond       ../rtl/RF_components.v   75.16    75.36  
rtl pc_gen/always_1/if_1/block_1/if_1/block_1                                         block      ../rtl/RF_components.v   76.13    88.16  
rtl pc_gen/always_1/if_1/block_1/if_1/block_1/case_1                                  case       ../rtl/RF_components.v   77.17    87.24  
rtl pc_gen/always_1/if_1/block_1/if_1/block_1/case_1/cond                             cond       ../rtl/RF_components.v   77.23    77.26  
rtl pc_gen/always_1/if_1/block_1/if_1/block_1/case_1/stmt_3                           stmt       ../rtl/RF_components.v   80.32    80.51  
rtl pc_gen/always_1/if_1/block_1/if_1/block_1/case_1/block_1                          block      ../rtl/RF_components.v   81.31    84.24  
