#   RTL                                                                               TYPE       FILENAME               BEGIN    END      
rtl exec_stage                                                                        module     ../rtl/EXEC_stage.v      16.1    120.10  
rtl exec_stage/input_ext_i                                                            input      ../rtl/EXEC_stage.v      24.22    24.27  
rtl exec_stage/input_rs_i                                                             input      ../rtl/EXEC_stage.v      31.22    31.26  
rtl exec_stage/wire_alu_ur_o                                                          wire       ../rtl/EXEC_stage.v      33.23    33.31  
rtl exec_stage/wire_BUS468                                                            wire       ../rtl/EXEC_stage.v      40.17    40.23  
rtl exec_stage/wire_BUS476                                                            wire       ../rtl/EXEC_stage.v      41.17    41.23  
rtl exec_stage/inst_MIPS_alu                                                          inst       ../rtl/EXEC_stage.v      44.14    52.15  
rtl exec_stage/inst_i_alu_muxb                                                        inst       ../rtl/EXEC_stage.v      72.14    78.15  
rtl exec_stage/inst_i_alu_muxa                                                        inst       ../rtl/EXEC_stage.v      82.14    93.15  
rtl mips_alu                                                                          module     ../rtl/EXEC_stage.v     122.1    177.10  
rtl mips_alu/input_a                                                                  input      ../rtl/EXEC_stage.v     124.19   124.20  
rtl mips_alu/input_b                                                                  input      ../rtl/EXEC_stage.v     124.21   124.22  
rtl mips_alu/wire_c                                                                   wire       ../rtl/EXEC_stage.v     125.19   125.20  
rtl mips_alu/wire_alu_c                                                               wire       ../rtl/EXEC_stage.v     129.17   129.22  
rtl mips_alu/assign_1_c                                                               assign     ../rtl/EXEC_stage.v     132.12   132.43  
rtl mips_alu/inst_mips_alu                                                            inst       ../rtl/EXEC_stage.v     170.9    175.10  
rtl alu_muxa                                                                          module     ../rtl/EXEC_stage.v     179.1    201.10  
rtl alu_muxa/input_rs                                                                 input      ../rtl/EXEC_stage.v     183.21   183.23  
rtl alu_muxa/reg_a_o                                                                  reg        ../rtl/EXEC_stage.v     188.26   188.29  
rtl alu_muxa/always_1                                                                 always     ../rtl/EXEC_stage.v     191.5    200.8   
rtl alu_muxa/always_1/block_1                                                         block      ../rtl/EXEC_stage.v     192.5    200.8   
rtl alu_muxa/always_1/block_1/case_1                                                  case       ../rtl/EXEC_stage.v     193.9    199.16  
rtl alu_muxa/always_1/block_1/case_1/stmt_1                                           stmt       ../rtl/EXEC_stage.v     194.25   194.86  
rtl alu_muxb                                                                          module     ../rtl/EXEC_stage.v     203.1    215.10  
rtl alu_muxb/input_ext                                                                input      ../rtl/EXEC_stage.v     205.21   205.24  
rtl alu_muxb/reg_b_o                                                                  reg        ../rtl/EXEC_stage.v     207.27   207.30  
rtl alu_muxb/always_1                                                                 always     ../rtl/EXEC_stage.v     209.5    214.12  
rtl alu_muxb/always_1/case_1                                                          case       ../rtl/EXEC_stage.v     210.5    214.12  
rtl alu_muxb/always_1/case_1/stmt_1                                                   stmt       ../rtl/EXEC_stage.v     212.21   212.29  
rtl alu                                                                               module     ../rtl/EXEC_stage.v     221.1    260.10  
rtl alu/input_a                                                                       input      ../rtl/EXEC_stage.v     222.22   222.23  
rtl alu/input_b                                                                       input      ../rtl/EXEC_stage.v     223.21   223.22  
rtl alu/reg_alu_out                                                                   reg        ../rtl/EXEC_stage.v     224.27   224.34  
rtl alu/always_1                                                                      always     ../rtl/EXEC_stage.v     230.5    259.8   
rtl alu/always_1/block_1                                                              block      ../rtl/EXEC_stage.v     231.5    259.8   
rtl alu/always_1/block_1/case_1                                                       case       ../rtl/EXEC_stage.v     232.9    258.16  
rtl alu/always_1/block_1/case_1/stmt_3                                                stmt       ../rtl/EXEC_stage.v     236.27   236.39  
rtl ext                                                                               module     ../rtl/RF_components.v   15.1     36.10  
rtl ext/reg_res                                                                       reg        ../rtl/RF_components.v   17.27    17.30  
rtl ext/input_ctl                                                                     input      ../rtl/RF_components.v   18.20    18.23  
rtl ext/always_1                                                                      always     ../rtl/RF_components.v   26.5     35.12  
rtl ext/always_1/case_1                                                               case       ../rtl/RF_components.v   27.5     35.12  
rtl ext/always_1/case_1/cond                                                          cond       ../rtl/RF_components.v   27.11    27.14  
rtl ext/always_1/case_1/stmt_1                                                        stmt       ../rtl/RF_components.v   28.23    28.58  
rtl reg_array                                                                         module     ../rtl/RF_components.v  105.1    170.10  
rtl reg_array/input_pause                                                             input      ../rtl/RF_components.v  106.15   106.20  
rtl reg_array/input_data                                                              input      ../rtl/RF_components.v  107.23   107.27  
rtl reg_array/input_wraddress                                                         input      ../rtl/RF_components.v  108.22   108.31  
rtl reg_array/input_rdaddress_a                                                       input      ../rtl/RF_components.v  109.22   109.33  
rtl reg_array/input_rd_clk_cls                                                        input      ../rtl/RF_components.v  111.15   111.25  
